"station_id","target_city","von_datum","bis_datum","Stationshoehe","geoBreite","geoLaenge","Stationsname","Bundesland","Abgabe","res","var","per","hasfile","node_id"
"04271","Rostock",1975-07-01,2026-06-30,5,54.1803,12.0808,"Rostock-Warnemuende","Mecklenburg-Vorpommern","Frei","hourly","weather_phenomena","recent",TRUE,"04271"
"04466","Schleswig",1947-01-01,2026-05-31,43,54.5275,9.5487,"Schleswig","Schleswig-Holstein","Frei","monthly","kl","historical",TRUE,"04466"
"01975","Hamburg",1996-01-01,2026-06-24,11,53.6332,9.9881,"Hamburg-Fuhlsbuettel","Hamburg","Frei","1_minute","precipitation","historical",TRUE,"01975"
"00691","Bremen",2008-10-30,2023-01-04,4,53.0451,8.7981,"Bremen","Bremen","---","5_minutes","precipitation","historical",TRUE,"00691"
"01550","Garmisch",1936-01-01,2026-06-30,719,47.483,11.0621,"Garmisch-Partenkirchen","Bayern","Frei","subdaily","cloudiness","historical",TRUE,"01550"
"00433","Berlin",1949-01-01,2008-10-31,48,52.4676,13.402,"Berlin-Tempelhof","Berlin","Frei","daily","weather_phenomena","historical",TRUE,"00433"
"02014","Hannover",1949-01-01,2026-07-01,55,52.4644,9.6779,"Hannover","Niedersachsen","Frei","hourly","cloud_type","recent",TRUE,"02014"
"03126","Magdeburg",1834-01-01,2025-12-31,79,52.1029,11.5827,"Magdeburg","Sachsen-Anhalt","Frei","annual","kl","recent",TRUE,"03126"
"02928","Leipzig",1997-04-07,2026-07-01,138,51.3151,12.4462,"Leipzig-Holzhausen","Sachsen","Frei","hourly","precipitation","recent",TRUE,"02928"
"01443","Freiburg",1955-01-01,2026-06-30,237,48.0232,7.8343,"Freiburg","Baden-Wuerttemberg","Frei","hourly","wind","historical",TRUE,"01443"
"06217","Saarbruecken",2001-04-01,2026-06-30,190,49.2406,6.9351,"Saarbruecken-Burbach","Saarland","Frei","daily","more_precip","historical",TRUE,"06217"
"03379","Munich",1990-07-01,2026-06-30,515,48.1632,11.5429,"Muenchen-Stadt","Bayern","Frei","hourly","extreme_wind","recent",TRUE,"03379"
"01766","Muenster",1995-07-04,2026-07-01,48,52.1344,7.6969,"Muenster/Osnabrueck","Nordrhein-Westfalen","Frei","10_minutes","extreme_temperature","recent",TRUE,"01766"
"15000","Aachen",2011-04-01,2026-06-30,231,50.7983,6.0244,"Aachen-Orsbach","Nordrhein-Westfalen","Frei","daily","soil_temperature","recent",TRUE,"15000"
"01303","Essen",1887-06-01,2026-05-31,150,51.4041,6.9677,"Essen-Bredeney","Nordrhein-Westfalen","Frei","monthly","kl","historical",TRUE,"01303"
"15444","Ulm",2014-09-01,2026-06-30,593,48.4418,9.9216,"Ulm-Maehringen","Baden-Wuerttemberg","Frei","hourly","moisture","historical",TRUE,"15444"
"04928","Stuttgart",1996-04-01,2026-07-01,314,48.8281,9.2,"Stuttgart (Schnarrenberg)","Baden-Wuerttemberg","Frei","10_minutes","wind_test","now",TRUE,"04928"
"05906","Mannheim",1949-01-01,2026-07-01,98,49.5063,8.5584,"Mannheim","Baden-Wuerttemberg","Frei","hourly","wind_synop","recent",TRUE,"05906"
"05856","Passau",1997-01-03,2026-06-30,476,48.5451,13.3532,"Fuerstenzell","Bayern","Frei","daily","soil_temperature","recent",TRUE,"05856"
"01050","Dresden",1949-01-01,2026-05-31,112,51.0221,13.847,"Dresden-Hosterwitz","Sachsen","Frei","monthly","climate_indices","historical",TRUE,"01050"
"02667","Cologne",1957-09-01,2026-06-29,91,50.8645,7.1575,"Koeln/Bonn","Nordrhein-Westfalen","---","subdaily","standard_format","",FALSE,"02667"
"01424","Frankfurt",1985-11-01,2026-05-31,121,50.1269,8.6694,"Frankfurt/Main-Westend","Hessen","Frei","monthly","kl","historical",TRUE,"01424"
"04104","Regensburg",1879-01-01,2026-06-30,365,49.0425,12.1019,"Regensburg","Bayern","Frei","daily","kl","recent",TRUE,"04104"
"03668","Nuremberg",1879-01-01,2021-12-31,314,49.503,11.0549,"Nuernberg","Bayern","Frei","annual","weather_phenomena","recent",TRUE,"03668"
"15207","Kassel",2013-10-31,2023-01-04,317,51.2835,9.359,"Schauenburg-Elgershausen","Hessen","---","5_minutes","precipitation","historical",TRUE,"15207"
