"replication","truth_id","truth_structure","alpha","k_deviation","quadrature_points","rpe_dev","integrated_squared_error","integrated_squared_deviation","basis_rank","centred_deviation_max_abs"
1,"coordinate_a50","coordinate",0.5,15,4001,0.00398425450321191,0.000129088307952147,8.13191375360974,15,4.23792945181134e-17
1,"coordinate_a90","coordinate",0.9,15,4001,0.00398669443601066,0.000129087025689101,8.12188235060398,15,4.85722573273506e-17
1,"cluster_a50","cluster",0.5,15,4001,0.00376714316349578,0.000129083771384655,9.09593598680571,15,1.16573417585641e-16
1,"cluster_a90","cluster",0.9,15,4001,0.00359865709088085,0.000129081720890859,9.96744425867334,15,1.46549439250521e-16
2,"coordinate_a50","coordinate",0.5,15,4001,0.0040138249318962,0.000129086839389758,8.01244598875652,15,4.14945855453652e-17
2,"coordinate_a90","coordinate",0.9,15,4001,0.00396809009216103,0.0001290862799864,8.19817222642956,15,5.4678483962789e-17
2,"cluster_a50","cluster",0.5,15,4001,0.00372329137048993,0.000129083111300943,9.31140843990974,15,1.01862962509358e-16
2,"cluster_a90","cluster",0.9,15,4001,0.00359090094875362,0.000129081588874117,10.0105387492941,15,1.4210854715202e-16
3,"coordinate_a50","coordinate",0.5,15,4001,0.00399272641877823,0.000129084539286755,8.09720476979797,15,4.21884749357559e-17
3,"coordinate_a90","coordinate",0.9,15,4001,0.00395258537750606,0.000129084954482207,8.26253109014593,15,4.63518112781003e-17
3,"cluster_a50","cluster",0.5,15,4001,0.00375811020571953,0.000129083780219979,9.13971497148161,15,1.0547118733939e-16
3,"cluster_a90","cluster",0.9,15,4001,0.00359707755478616,0.000129081722657924,9.97620005560852,15,1.31006316905768e-16
4,"coordinate_a50","coordinate",0.5,15,4001,0.00403209594240347,0.000129085512630018,7.93991382482078,15,3.51454976232901e-17
4,"coordinate_a90","coordinate",0.9,15,4001,0.00399562743067807,0.000129085687877883,8.08552308558768,15,4.9960036108132e-17
4,"cluster_a50","cluster",0.5,15,4001,0.00373812867898958,0.000129083288043867,9.23765045706822,15,1.31561428418081e-16
4,"cluster_a90","cluster",0.9,15,4001,0.00359355015630428,0.000129081624222702,9.99578715272584,15,1.50990331349021e-16
5,"coordinate_a50","coordinate",0.5,15,4001,0.00387748749398441,0.000129082192288348,8.58549858895443,15,5.88765147746528e-17
5,"coordinate_a90","coordinate",0.9,15,4001,0.00390138007195208,0.000129083997885241,8.48078171195078,15,4.10782519111308e-17
5,"cluster_a50","cluster",0.5,15,4001,0.00375507693616393,0.000129084397810407,9.15453046038244,15,8.79851747015437e-17
5,"cluster_a90","cluster",0.9,15,4001,0.00359654519850897,0.00012908184617601,9.97916315338869,15,1.3988810110277e-16
6,"coordinate_a50","coordinate",0.5,15,4001,0.00394168403340202,0.00012908484775329,8.30829006544406,15,4.88498130835069e-17
6,"coordinate_a90","coordinate",0.9,15,4001,0.00394512193538648,0.00012908546496067,8.29385582596105,15,4.4651782271643e-17
6,"cluster_a50","cluster",0.5,15,4001,0.00372929567586167,0.000129083071111819,9.28144625645704,15,9.99200722162641e-17
6,"cluster_a90","cluster",0.9,15,4001,0.00359197609933866,0.000129081580836292,10.0045463126036,15,1.28785870856518e-16
7,"coordinate_a50","coordinate",0.5,15,4001,0.00412033895776807,0.000129087115995087,7.60356055504501,15,4.32986979603811e-17
