"replication","truth_id","truth_structure","alpha","snr_overall_sigma_0_2","snr_dev_sigma_0_2","snr_overall_sigma_0_5","snr_dev_sigma_0_5","overall_ratio","deviation_ratio","overall_ratio_pass","deviation_ratio_pass"
1,"cluster_a50","cluster",0.5,12.9327671330967,9.07401713309666,2.06924274129547,1.45184274129547,6.25,6.25,TRUE,TRUE
1,"cluster_a90","cluster",0.9,13.7868450907278,9.92809509072781,2.20589521451645,1.58849521451645,6.25,6.25,TRUE,TRUE
1,"coordinate_a50","coordinate",0.5,11.9880255788352,8.12927557883523,1.91808409261364,1.30068409261364,6.25,6.25,TRUE,TRUE
1,"coordinate_a90","coordinate",0.9,11.9781947654916,8.11944476549165,1.91651116247866,1.29911116247866,6.25,6.25,TRUE,TRUE
10,"cluster_a50","cluster",0.5,12.9152114304218,9.05646143042182,2.06643382886749,1.44903382886749,6.25,6.25,TRUE,TRUE
10,"cluster_a90","cluster",0.9,13.7833339501928,9.92458395019284,2.20533343203085,1.58793343203085,6.25,6.25,TRUE,TRUE
10,"coordinate_a50","coordinate",0.5,12.5394630935555,8.68071309355554,2.00631409496889,1.38891409496889,6.25,6.25,TRUE,TRUE
10,"coordinate_a90","coordinate",0.9,12.27455583198,8.41580583198002,1.9639289331168,1.3465289331168,6.25,6.25,TRUE,TRUE
11,"cluster_a50","cluster",0.5,13.0550037719333,9.19625377193334,2.08880060350933,1.47140060350933,6.25,6.25,TRUE,TRUE
11,"cluster_a90","cluster",0.9,13.8112924184951,9.95254241849514,2.20980678695922,1.59240678695922,6.25,6.25,TRUE,TRUE
11,"coordinate_a50","coordinate",0.5,12.2451611097019,8.38641110970186,1.9592257775523,1.3418257775523,6.25,6.25,TRUE,TRUE
11,"coordinate_a90","coordinate",0.9,12.2266629096153,8.36791290961529,1.95626606553845,1.33886606553845,6.25,6.25,TRUE,TRUE
12,"cluster_a50","cluster",0.5,13.1135491495504,9.25479914955038,2.09816786392806,1.48076786392806,6.25,6.25,TRUE,TRUE
12,"cluster_a90","cluster",0.9,13.8230014940186,9.96425149401855,2.21168023904297,1.59428023904297,6.25,6.25,TRUE,TRUE
12,"coordinate_a50","coordinate",0.5,12.0710694010194,8.21231940101943,1.93137110416311,1.31397110416311,6.25,6.25,TRUE,TRUE
12,"coordinate_a90","coordinate",0.9,12.1284128043662,8.26966280436622,1.9405460486986,1.3231460486986,6.25,6.25,TRUE,TRUE
13,"cluster_a50","cluster",0.5,13.0474088138003,9.18865881380034,2.08758541020805,1.47018541020805,6.25,6.25,TRUE,TRUE
13,"cluster_a90","cluster",0.9,13.8097734268685,9.95102342686854,2.20956374829897,1.59216374829897,6.25,6.25,TRUE,TRUE
13,"coordinate_a50","coordinate",0.5,12.0626676512537,8.2039176512537,1.93002682420059,1.31262682420059,6.25,6.25,TRUE,TRUE
13,"coordinate_a90","coordinate",0.9,12.0442548310158,8.18550483101582,1.92708077296253,1.30968077296253,6.25,6.25,TRUE,TRUE
14,"cluster_a50","cluster",0.5,13.2595676738776,9.40081767387762,2.12153082782042,1.50413082782042,6.25,6.25,TRUE,TRUE
14,"cluster_a90","cluster",0.9,13.852205198884,9.993455198884,2.21635283182144,1.59895283182144,6.25,6.25,TRUE,TRUE
14,"coordinate_a50","coordinate",0.5,12.244150789196,8.38540078919599,1.95906412627136,1.34166412627136,6.25,6.25,TRUE,TRUE
