"cell_id","truth_structure","alpha","neighbourhood","sigma","method","attempted","successful","failure_rate","total_warnings","mise","mise_mcse","median_aise","mean_median_node_ise","median_median_node_ise","mean_worst_node_ise","median_worst_node_ise","mean_elapsed_seconds","median_elapsed_seconds"
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,"network",200,200,0,0,0.00669826926858532,3.99424027229494e-05,0.00672556758406907,0.00626297951008864,0.00625595306449547,0.0136532183561014,0.0133989869171395,25.8748499999998,19.8999999999978
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,"nodewise",200,200,0,0,0.00701949478198513,4.26204881122029e-05,0.00703602287484711,0.00656972150503762,0.00657393572001226,0.0145136860819834,0.0140662183413996,0.454300000000731,0.440000000002328
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,"pooled",200,200,0,0,0.369343114136871,0.000400132414185858,0.369315780421875,0.29146539877684,0.291007997253652,1.18399739958228,1.13894022683547,0.0478999999991356,0.0400000000008731
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,"raw",200,200,0,0,0.0400813300719782,0.000116472001638603,0.0400194746404951,0.0396304637642178,0.0396914697803361,0.057851098307996,0.057389682189232,NA,NA
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,"network",200,200,0,0,0.0299627749271018,0.000212162952567897,0.0298945485274311,0.0273995809167804,0.0271621880233225,0.0673806393625713,0.0664593890539035,24.9470499999996,23.7650000000012
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,"nodewise",200,200,0,0,0.0342673015238819,0.000244812997888442,0.0338520501381966,0.0315614594520809,0.0316218569311566,0.0777754141715938,0.0760116383558845,0.457650000000431,0.440000000002328
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,"pooled",200,200,0,0,0.370530626644488,0.000401530319871125,0.370200855496278,0.292634636915087,0.29266160072847,1.1875538768963,1.14680094778557,0.0408500000002823,0.0399999999935972
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,"raw",200,200,0,0,0.250508312949864,0.000727950010241269,0.250121716503094,0.247690398526361,0.248071686127101,0.361569364424975,0.3586855136827,NA,NA
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,"network",200,200,0,0,0.00670517916909488,3.98358825765719e-05,0.00673046169324703,0.00627265078874744,0.00623009739914861,0.0136674405504438,0.0134070115236095,22.50395,18.244999999999
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,"nodewise",200,200,0,0,0.00701949478198513,4.26204881122029e-05,0.00703602287484711,0.00656972150503762,0.00657393572001226,0.0145136860819834,0.0140662183413996,0.446600000000053,0.430000000000291
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,"pooled",200,200,0,0,0.369343114136871,0.000400132414185858,0.369315780421875,0.29146539877684,0.291007997253652,1.18399739958228,1.13894022683547,0.0462500000000364,0.0400000000081491
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,"raw",200,200,0,0,0.0400813300719782,0.000116472001638603,0.0400194746404951,0.0396304637642178,0.0396914697803361,0.057851098307996,0.057389682189232,NA,NA
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,"network",200,200,0,0,0.0299085785825339,0.000211057748958934,0.0299364080018988,0.0273684160408116,0.0270417850290453,0.0672910108010504,0.0659980433255027,25.3480999999997,27.1149999999998
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,"nodewise",200,200,0,0,0.0342673015238819,0.000244812997888442,0.0338520501381966,0.0315614594520809,0.0316218569311566,0.0777754141715938,0.0760116383558845,0.455200000000277,0.440000000002328
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,"pooled",200,200,0,0,0.370530626644488,0.000401530319871125,0.370200855496278,0.292634636915087,0.29266160072847,1.1875538768963,1.14680094778557,0.0418999999996777,0.0399999999935972
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,"raw",200,200,0,0,0.250508312949864,0.000727950010241269,0.250121716503094,0.247690398526361,0.248071686127101,0.361569364424975,0.3586855136827,NA,NA
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,"network",200,200,0,0,0.00681444661672677,4.37818024940072e-05,0.00681894648390716,0.0064142907954866,0.00642973436795879,0.0140183231829394,0.0136259515814367,18.2268499999999,18.1299999999937
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,"nodewise",200,200,0,0,0.00692835166197071,4.35188692638556e-05,0.00694860962250662,0.00646264239105685,0.00648146643524246,0.0146299065434384,0.0142388691384388,0.457900000000591,0.440000000002328
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,"pooled",200,200,0,0,0.400139919747253,8.0451929861906e-05,0.400053161081715,0.359886872400548,0.358103445555466,0.910828715208586,0.90097371969774,0.0433999999997286,0.0400000000008731
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,"raw",200,200,0,0,0.0400320455853794,0.000107289024634306,0.0399942759416297,0.0393969500301941,0.0395499161676216,0.0576780678783818,0.0571124210690775,NA,NA
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,"network",200,200,0,0,0.0300217043564874,0.000231854476289439,0.0299150248272169,0.0277590930536292,0.0274899509840457,0.0672484917983445,0.0647701064888744,25.7091999999999,23.7599999999984
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,"nodewise",200,200,0,0,0.0335564365646178,0.000257141664298359,0.0333892857673447,0.0304183435086909,0.0302792972197972,0.0796241726511279,0.0770007954020473,0.448849999999984,0.43999999999869
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,"pooled",200,200,0,0,0.401297337729148,9.82284573375752e-05,0.401268562959085,0.360513739454241,0.35825743389739,0.913866799384056,0.900995450690047,0.0435500000000502,0.0400000000008731
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,"raw",200,200,0,0,0.250200284908621,0.00067055640396441,0.249964224635186,0.246230937688713,0.247186976047635,0.360487924239886,0.356952631681734,NA,NA
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,"network",200,200,0,0,0.00682921857891924,4.38570274878573e-05,0.00683024513859311,0.00643069125920826,0.00643850455189486,0.013984069586791,0.0135615418128055,18.0056499999998,18.0999999999949
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,"nodewise",200,200,0,0,0.00692835166197071,4.35188692638556e-05,0.00694860962250662,0.00646264239105685,0.00648146643524246,0.0146299065434384,0.0142388691384388,0.454300000000057,0.440000000002328
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,"pooled",200,200,0,0,0.400139919747253,8.0451929861906e-05,0.400053161081715,0.359886872400548,0.358103445555466,0.910828715208586,0.90097371969774,0.0439999999998145,0.0400000000008731
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,"raw",200,200,0,0,0.0400320455853794,0.000107289024634306,0.0399942759416297,0.0393969500301941,0.0395499161676216,0.0576780678783818,0.0571124210690775,NA,NA
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,"network",200,200,0,0,0.0293518474915594,0.000227223799576633,0.0292140382773954,0.0271308742120222,0.0268033203070328,0.0649741679713411,0.062555849181277,26.1966999999995,30.1699999999983
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,"nodewise",200,200,0,0,0.0335564365646178,0.000257141664298359,0.0333892857673447,0.0304183435086909,0.0302792972197972,0.0796241726511279,0.0770007954020473,0.445300000000789,0.430000000007567
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,"pooled",200,200,0,0,0.401297337729148,9.82284573375752e-05,0.401268562959085,0.360513739454241,0.35825743389739,0.913866799384056,0.900995450690047,0.0427499999996689,0.0399999999935972
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,"raw",200,200,0,0,0.250200284908621,0.00067055640396441,0.249964224635186,0.246230937688713,0.247186976047635,0.360487924239886,0.356952631681734,NA,NA
"coordinate_a50_queen_s20","coordinate",0.5,"queen",0.2,"network",200,200,0,0,0.0065853336764547,4.22558119934563e-05,0.00653060219800866,0.00622223700256904,0.0061658823067543,0.0134221983267362,0.0130670532771321,20.3192500000002,18.1399999999994
"coordinate_a50_queen_s20","coordinate",0.5,"queen",0.2,"nodewise",200,200,0,0,0.00693800580860481,4.43719653057083e-05,0.00692852374639783,0.00651199448360066,0.00651351270533253,0.0143091656511682,0.0139336943553471,0.43939999999966,0.420000000012806
"coordinate_a50_queen_s20","coordinate",0.5,"queen",0.2,"pooled",200,200,0,0,0.330826309700439,0.000692711672506211,0.331430157433377,0.247603518424698,0.246506466054068,1.15297139920065,1.09875786349564,0.0448500000002059,0.0400000000008731
"coordinate_a50_queen_s20","coordinate",0.5,"queen",0.2,"raw",200,200,0,0,0.0398211648921552,0.000107327597047085,0.039773488783657,0.0394175108732975,0.0393909060225216,0.0568616485033044,0.0561396111576817,NA,NA
"coordinate_a50_queen_s50","coordinate",0.5,"queen",0.5,"network",200,200,0,0,0.0293644864283916,0.000221234890235697,0.0292238199894477,0.0267917987039074,0.0265544982886318,0.065708234505311,0.0636602903525414,24.4054499999994,22.244999999999
"coordinate_a50_queen_s50","coordinate",0.5,"queen",0.5,"nodewise",200,200,0,0,0.0338782648950941,0.000235627664731922,0.0338945849756325,0.0311292509024267,0.0313733975985298,0.0769236845422984,0.0745968315439057,0.453500000000167,0.440000000002328
"coordinate_a50_queen_s50","coordinate",0.5,"queen",0.5,"pooled",200,200,0,0,0.332072360355106,0.000696283179930836,0.332194974345925,0.24923732708747,0.24987666077298,1.15688313849577,1.11057017161607,0.0434000000000742,0.0400000000008731
"coordinate_a50_queen_s50","coordinate",0.5,"queen",0.5,"raw",200,200,0,0,0.24888228057597,0.00067079748154428,0.248584304897856,0.24635944295811,0.24619316264076,0.355385303145652,0.35087256973551,NA,NA
"coordinate_a50_rook_s20","coordinate",0.5,"rook",0.2,"network",200,200,0,0,0.006583494753378,4.21005519352405e-05,0.00651724837510741,0.00622181800132102,0.00620203575652829,0.0134119914863853,0.0130756715117559,19.9313999999997,18.1699999999983
"coordinate_a50_rook_s20","coordinate",0.5,"rook",0.2,"nodewise",200,200,0,0,0.00693800580860481,4.43719653057083e-05,0.00692852374639783,0.00651199448360066,0.00651351270533253,0.0143091656511682,0.0139336943553471,0.449899999999598,0.429999999996653
"coordinate_a50_rook_s20","coordinate",0.5,"rook",0.2,"pooled",200,200,0,0,0.330826309700439,0.000692711672506211,0.331430157433377,0.247603518424698,0.246506466054068,1.15297139920065,1.09875786349564,0.044450000000943,0.0400000000008731
"coordinate_a50_rook_s20","coordinate",0.5,"rook",0.2,"raw",200,200,0,0,0.0398211648921552,0.000107327597047085,0.039773488783657,0.0394175108732975,0.0393909060225216,0.0568616485033044,0.0561396111576817,NA,NA
"coordinate_a50_rook_s50","coordinate",0.5,"rook",0.5,"network",200,200,0,0,0.029358759037125,0.000220922826556489,0.0292754820458199,0.0267149452398555,0.0264438055222133,0.0657191935641584,0.0638310659687045,24.4561000000002,24.3250000000007
"coordinate_a50_rook_s50","coordinate",0.5,"rook",0.5,"nodewise",200,200,0,0,0.0338782648950941,0.000235627664731922,0.0338945849756325,0.0311292509024267,0.0313733975985298,0.0769236845422984,0.0745968315439057,0.449950000000335,0.439999999996871
"coordinate_a50_rook_s50","coordinate",0.5,"rook",0.5,"pooled",200,200,0,0,0.332072360355106,0.000696283179930836,0.332194974345925,0.24923732708747,0.24987666077298,1.15688313849577,1.11057017161607,0.0433499999998821,0.0400000000008731
"coordinate_a50_rook_s50","coordinate",0.5,"rook",0.5,"raw",200,200,0,0,0.24888228057597,0.00067079748154428,0.248584304897856,0.24635944295811,0.24619316264076,0.355385303145652,0.35087256973551,NA,NA
"coordinate_a90_queen_s20","coordinate",0.9,"queen",0.2,"network",200,200,0,0,0.00659683360589274,4.15959031686406e-05,0.0065549462710326,0.00618016208350586,0.00615924169081734,0.0136798746379011,0.0134375533271009,17.8701999999996,18.0649999999987
"coordinate_a90_queen_s20","coordinate",0.9,"queen",0.2,"nodewise",200,200,0,0,0.00689655079635332,4.34297139118782e-05,0.00684966436159395,0.00644039233330175,0.00638557728019966,0.0146751338724172,0.0145350917433455,0.437550000000137,0.429999999993015
"coordinate_a90_queen_s20","coordinate",0.9,"queen",0.2,"pooled",200,200,0,0,0.331178225368134,0.000354824985805267,0.331460151450824,0.294583747210767,0.294766572756734,0.941813843948816,0.914047227190993,0.0460999999999149,0.0449999999982538
"coordinate_a90_queen_s20","coordinate",0.9,"queen",0.2,"raw",200,200,0,0,0.0399536334668953,0.000108523657456354,0.0399314914597559,0.0396489320626543,0.0395448091695281,0.0572242535689639,0.0566942384056274,NA,NA
"coordinate_a90_queen_s50","coordinate",0.9,"queen",0.5,"network",200,200,0,0,0.0269134881991791,0.000191970565718903,0.0270441076138959,0.0246080916215341,0.0242768201461884,0.0611237275289745,0.0595622288765933,22.6019999999998,19.4350000000031
"coordinate_a90_queen_s50","coordinate",0.9,"queen",0.5,"nodewise",200,200,0,0,0.0331225235871276,0.000228069125885458,0.0330032449982998,0.030134098853316,0.0298559059009391,0.0759900831280723,0.0732699476456989,0.447799999999606,0.439999999987776
"coordinate_a90_queen_s50","coordinate",0.9,"queen",0.5,"pooled",200,200,0,0,0.3323611670209,0.000360877976396093,0.332568847749845,0.296213419973049,0.294690763025972,0.944680800461838,0.917915065133158,0.0465500000006614,0.0400000000081491
"coordinate_a90_queen_s50","coordinate",0.9,"queen",0.5,"raw",200,200,0,0,0.249710209168096,0.000678272859102212,0.249571821623474,0.247805825391589,0.247155057309551,0.357651584806025,0.354338990035171,NA,NA
