"cell_id","truth_structure","alpha","neighbourhood","sigma","attempted","jointly_successful","mean_paired_improvement","paired_mcse","lower_two_mcse","upper_two_mcse","win_rate","mise_ratio_network_vs_nodewise","relative_improvement_percent"
"cluster_a50_queen_s20","cluster",0.5,"queen",0.2,200,200,0.000321225513399818,1.2898828206279e-05,0.00029542785698726,0.000347023169812376,0.98,0.954238086446875,4.57619135531253
"cluster_a50_queen_s50","cluster",0.5,"queen",0.5,200,200,0.00430452659678016,0.000125453016623333,0.0040536205635335,0.00455543263002683,0.995,0.874383846834855,12.5616153165145
"cluster_a50_rook_s20","cluster",0.5,"rook",0.2,200,200,0.000314315612890258,1.29530757752997e-05,0.000288409461339659,0.000340221764440857,0.96,0.955222473603525,4.4777526396475
"cluster_a50_rook_s50","cluster",0.5,"rook",0.5,200,200,0.00435872294134806,0.000126097850215353,0.00410652724091736,0.00461091864177877,0.995,0.872802270750431,12.7197729249569
"cluster_a90_queen_s20","cluster",0.9,"queen",0.2,200,200,0.000113905045243941,1.26232003173594e-05,8.86586446092224e-05,0.00013915144587866,0.745,0.983559575090687,1.64404249093126
"cluster_a90_queen_s50","cluster",0.9,"queen",0.5,200,200,0.00353473220813048,0.000154341104867701,0.00322604999839508,0.00384341441786588,0.945,0.89466306407941,10.533693592059
"cluster_a90_rook_s20","cluster",0.9,"rook",0.2,200,200,9.91330830514713e-05,1.29303508040471e-05,7.3272381443377e-05,0.000124993784659566,0.72,0.985691678498999,1.4308321501001
"cluster_a90_rook_s50","cluster",0.9,"rook",0.5,200,200,0.00420458907305847,0.000157912115774094,0.00388876484151028,0.00452041330460666,0.99,0.874700966386526,12.5299033613474
"coordinate_a50_queen_s20","coordinate",0.5,"queen",0.2,200,200,0.000352672132150117,1.21675477327864e-05,0.000328337036684544,0.00037700722761569,0.975,0.949168083469645,5.08319165303548
"coordinate_a50_queen_s50","coordinate",0.5,"queen",0.5,200,200,0.00451377846670252,0.000122114464067913,0.00426954953856669,0.00475800739483834,1,0.866764768482693,13.3235231517307
"coordinate_a50_rook_s20","coordinate",0.5,"rook",0.2,200,200,0.000354511055226813,1.25519172437569e-05,0.000329407220739299,0.000379614889714327,0.975,0.94890303280128,5.10969671987205
"coordinate_a50_rook_s50","coordinate",0.5,"rook",0.5,200,200,0.00451950585796914,0.000126612443355415,0.00426628097125831,0.00477273074467998,0.99,0.866595710495681,13.3404289504319
"coordinate_a90_queen_s20","coordinate",0.9,"queen",0.2,200,200,0.000299717190460578,1.37770080353746e-05,0.000272163174389828,0.000327271206531327,0.96,0.956541001536731,4.34589984632694
"coordinate_a90_queen_s50","coordinate",0.9,"queen",0.5,200,200,0.00620903538794847,0.000134393147230373,0.00594024909348772,0.00647782168240922,1,0.81254340806443,18.745659193557
"coordinate_a90_rook_s20","coordinate",0.9,"rook",0.2,200,200,0.000303370455016707,1.45639911354465e-05,0.000274242472745814,0.0003324984372876,0.96,0.956011278104829,4.39887218951711
"coordinate_a90_rook_s50","coordinate",0.9,"rook",0.5,200,200,0.00677524872587746,0.00013983360302564,0.00649558151982618,0.00705491593192874,1,0.79544889724192,20.455110275808
